CustomerID,Recency,Frequency,Monetary,AvgOrderValue,CustomerLifespan,DaysSinceFirstPurchase,AvgPurchaseInterval,Cluster,Segment
12346,326,1,77183.6,77183.6,0,325,0.0,2,⚠️ At Risk
12347,2,7,4310.0,615.7142857142857,365,366,52.142857142857146,1,💎 High Value
12348,75,4,1797.24,449.31,282,357,70.5,2,⚠️ At Risk
12349,19,1,1757.55,1757.55,0,18,0.0,2,⚠️ At Risk
12350,310,1,334.4,334.4,0,309,0.0,2,⚠️ At Risk
12352,36,8,2506.04,313.255,260,296,32.5,1,💎 High Value
12353,204,1,89.0,89.0,0,203,0.0,0,🆕 New / Low Value
12354,232,1,1079.4,1079.4,0,231,0.0,2,⚠️ At Risk
12355,214,1,459.4,459.4,0,213,0.0,2,⚠️ At Risk
12356,23,3,2811.43,937.1433333333333,302,325,100.66666666666667,1,💎 High Value
12357,33,1,6207.67,6207.67,0,32,0.0,2,⚠️ At Risk
12358,2,2,1168.06,584.03,149,150,74.5,3,🛍️ Regular
12359,58,4,6310.03,1577.5075,274,331,68.5,1,💎 High Value
12360,52,3,2662.06,887.3533333333334,148,200,49.333333333333336,2,⚠️ At Risk
12361,287,1,189.9,189.9,0,286,0.0,0,🆕 New / Low Value
12362,3,10,5226.23,522.6229999999999,292,295,29.2,1,💎 High Value
12363,110,2,552.0,276.0,132,241,66.0,2,⚠️ At Risk
12364,8,4,1313.1,328.275,104,111,26.0,3,🛍️ Regular
12365,291,2,641.38,320.69,0,290,0.0,2,⚠️ At Risk
12367,4,1,168.9,168.9,0,3,0.0,3,🛍️ Regular
12370,51,4,3541.94,885.485,309,359,77.25,1,💎 High Value
12371,45,2,1887.96,943.98,14,59,7.0,2,⚠️ At Risk
12372,72,3,1298.04,432.68,224,296,74.66666666666667,2,⚠️ At Risk
12373,311,1,364.6,364.6,0,310,0.0,2,⚠️ At Risk
12374,25,1,742.9300000000001,742.9300000000001,0,24,0.0,2,⚠️ At Risk
12375,11,2,457.5,228.75,87,97,43.5,3,🛍️ Regular
12377,315,2,1628.12,814.06,39,354,19.5,2,⚠️ At Risk
12378,130,1,4008.62,4008.62,0,129,0.0,2,⚠️ At Risk
12379,82,2,852.24,426.12,88,169,44.0,2,⚠️ At Risk
12380,22,4,2724.81,681.2025,164,185,41.0,1,💎 High Value
12381,5,5,1845.31,369.062,115,119,23.0,1,💎 High Value
12383,185,5,1850.56,370.11199999999997,167,351,33.4,2,⚠️ At Risk
12384,29,2,585.27,292.635,92,121,46.0,3,🛍️ Regular
12386,338,2,401.9,200.95,29,366,14.5,0,🆕 New / Low Value
12388,16,6,2780.66,463.4433333333333,311,326,51.833333333333336,1,💎 High Value
12390,80,1,549.84,549.84,0,79,0.0,2,⚠️ At Risk
12391,22,1,439.66,439.66,0,21,0.0,2,⚠️ At Risk
12393,72,4,1582.6000000000001,395.65000000000003,260,332,65.0,2,⚠️ At Risk
12394,64,2,1272.48,636.24,153,216,76.5,2,⚠️ At Risk
12395,19,12,3018.63,251.5525,351,370,29.25,1,💎 High Value
12397,36,2,2409.9,1204.95,99,134,49.5,2,⚠️ At Risk
12398,46,1,1635.6599999999999,1635.6599999999999,0,45,0.0,2,⚠️ At Risk
12399,119,4,1108.65,277.1625,142,261,35.5,2,⚠️ At Risk
12401,303,1,84.3,84.3,0,302,0.0,0,🆕 New / Low Value
12402,323,1,225.6,225.6,0,322,0.0,0,🆕 New / Low Value
12403,50,1,427.7,427.7,0,49,0.0,2,⚠️ At Risk
12405,149,1,1710.39,1710.39,0,148,0.0,2,⚠️ At Risk
12406,22,2,3415.3,1707.65,161,183,80.5,2,⚠️ At Risk
12407,50,5,1708.1200000000001,341.624,214,263,42.8,3,🛍️ Regular
12408,33,5,2888.55,577.71,227,259,45.4,1,💎 High Value
12409,79,3,11072.67,3690.89,103,182,34.333333333333336,2,⚠️ At Risk
12410,309,2,693.3299999999999,346.66499999999996,0,308,0.0,2,⚠️ At Risk
12412,75,3,1226.88,408.96000000000004,94,168,31.333333333333332,2,⚠️ At Risk
12413,67,3,758.1,252.70000000000002,270,336,90.0,3,🛍️ Regular
12414,217,3,562.41,187.47,93,309,31.0,0,🆕 New / Low Value
12415,24,21,124914.53,5948.310952380953,313,337,14.904761904761905,1,💎 High Value
12417,3,9,3649.1,405.4555555555555,354,357,39.333333333333336,1,💎 High Value
12418,113,1,668.58,668.58,0,112,0.0,2,⚠️ At Risk
12420,64,1,600.39,600.39,0,63,0.0,2,⚠️ At Risk
12421,16,4,807.04,201.76,303,318,75.75,3,🛍️ Regular
12422,96,3,803.5600000000001,267.85333333333335,229,324,76.33333333333333,2,⚠️ At Risk
12423,1,8,1859.31,232.41375,352,353,44.0,1,💎 High Value
12424,163,2,1760.96,880.48,0,162,0.0,2,⚠️ At Risk
12425,78,1,777.2,777.2,0,77,0.0,2,⚠️ At Risk
12426,195,1,582.73,582.73,0,194,0.0,2,⚠️ At Risk
12427,22,3,825.8,275.26666666666665,349,371,116.33333333333333,3,🛍️ Regular
12428,26,9,7956.46,884.0511111111111,257,283,28.555555555555557,1,💎 High Value
12429,9,4,3750.4,937.6,356,365,89.0,1,💎 High Value
12430,43,1,256.4,256.4,0,42,0.0,0,🆕 New / Low Value
12431,36,15,6419.95,427.99666666666667,338,373,22.533333333333335,1,💎 High Value
12432,43,5,5059.32,1011.8639999999999,129,171,25.8,1,💎 High Value
12433,1,7,13375.87,1910.8385714285716,372,372,53.142857142857146,1,💎 High Value
12434,85,2,806.14,403.07,175,259,87.5,2,⚠️ At Risk
12435,80,2,7829.89,3914.945,188,267,94.0,2,⚠️ At Risk
12436,100,1,509.01,509.01,0,99,0.0,2,⚠️ At Risk
12437,2,18,4951.41,275.0783333333333,329,330,18.27777777777778,1,💎 High Value
12438,14,2,2906.85,1453.425,125,139,62.5,2,⚠️ At Risk
12441,367,1,173.55,173.55,0,366,0.0,0,🆕 New / Low Value
12442,3,1,172.06,172.06,0,2,0.0,3,🛍️ Regular
12444,21,5,5005.46,1001.092,149,170,29.8,1,💎 High Value
12445,22,1,133.4,133.4,0,21,0.0,0,🆕 New / Low Value
12446,58,1,1002.3100000000001,1002.3100000000001,0,57,0.0,2,⚠️ At Risk
12447,243,1,476.49,476.49,0,242,0.0,2,⚠️ At Risk
12448,44,1,449.45,449.45,0,43,0.0,2,⚠️ At Risk
12449,22,4,4067.29,1016.8225,164,186,41.0,1,💎 High Value
12450,156,2,197.88,98.94,17,172,8.5,0,🆕 New / Low Value
12451,11,5,9035.52,1807.104,313,324,62.6,1,💎 High Value
12452,17,2,430.57,215.285,0,16,0.0,3,🛍️ Regular
12453,134,1,707.09,707.09,0,133,0.0,2,⚠️ At Risk
12454,56,1,3528.34,3528.34,0,55,0.0,2,⚠️ At Risk
12455,73,6,2466.86,411.1433333333334,223,296,37.166666666666664,1,💎 High Value
12456,44,3,3181.04,1060.3466666666666,210,254,70.0,2,⚠️ At Risk
12457,66,7,2363.23,337.6042857142857,172,238,24.571428571428573,1,💎 High Value
12458,71,2,947.4,473.7,213,284,106.5,2,⚠️ At Risk
12461,94,2,826.88,413.44,60,154,30.0,2,⚠️ At Risk
12462,19,2,1189.59,594.795,284,302,142.0,2,⚠️ At Risk
12463,53,4,1344.78,336.195,188,241,47.0,3,🛍️ Regular
12464,10,8,1212.05,151.50625,299,308,37.375,3,🛍️ Regular
12465,17,2,742.1899999999999,371.09499999999997,152,168,76.0,3,🛍️ Regular
12468,188,2,729.5400000000001,364.77000000000004,128,315,64.0,2,⚠️ At Risk
12471,2,30,19788.65,659.6216666666667,362,364,12.066666666666666,1,💎 High Value
12472,32,7,6572.11,938.8728571428571,336,368,48.0,1,💎 High Value
12473,29,5,3928.0499999999997,785.6099999999999,162,191,32.4,1,💎 High Value
12474,17,18,7324.09,406.8938888888889,312,329,17.333333333333332,1,💎 High Value
12475,54,1,723.38,723.38,0,53,0.0,2,⚠️ At Risk
12476,16,11,6816.42,619.6745454545454,345,360,31.363636363636363,1,💎 High Value
12477,23,6,13219.74,2203.29,278,301,46.333333333333336,1,💎 High Value
12478,4,1,680.99,680.99,0,3,0.0,3,🛍️ Regular
12479,11,1,527.2,527.2,0,10,0.0,3,🛍️ Regular
12480,28,4,3281.63,820.4075,307,335,76.75,1,💎 High Value
12481,23,10,5579.82,557.982,342,365,34.2,1,💎 High Value
12483,17,8,2484.98,310.6225,322,338,40.25,1,💎 High Value
12484,33,6,4527.32,754.5533333333333,303,335,50.5,1,💎 High Value
12488,10,3,1298.66,432.8866666666667,65,75,21.666666666666668,3,🛍️ Regular
12489,336,1,334.93,334.93,0,335,0.0,2,⚠️ At Risk
12490,5,10,5417.93,541.793,324,329,32.4,1,💎 High Value
12491,39,1,460.40000000000003,460.40000000000003,0,38,0.0,2,⚠️ At Risk
12492,63,2,263.21000000000004,131.60500000000002,42,104,21.0,0,🆕 New / Low Value
12493,166,2,433.74,216.87,31,196,15.5,0,🆕 New / Low Value
12494,16,7,1246.1000000000001,178.01428571428573,349,365,49.857142857142854,3,🛍️ Regular
12497,82,1,1043.1,1043.1,0,81,0.0,2,⚠️ At Risk
12498,21,3,403.70000000000005,134.5666666666667,36,57,12.0,3,🛍️ Regular
12500,23,11,4257.82,387.07454545454544,310,333,28.181818181818183,1,💎 High Value
12501,337,1,2169.39,2169.39,0,336,0.0,2,⚠️ At Risk
12502,96,5,3723.87,744.774,214,309,42.8,2,⚠️ At Risk
12504,18,2,482.04999999999995,241.02499999999998,12,29,6.0,3,🛍️ Regular
12506,233,1,73.5,73.5,0,232,0.0,0,🆕 New / Low Value
12507,134,3,1304.81,434.93666666666667,164,298,54.666666666666664,2,⚠️ At Risk
12508,26,2,397.88,198.94,2,28,1.0,3,🛍️ Regular
12509,284,1,176.5,176.5,0,283,0.0,0,🆕 New / Low Value
12510,143,2,982.5699999999999,491.28499999999997,182,324,91.0,2,⚠️ At Risk
12512,66,2,132.18,66.09,0,65,0.0,0,🆕 New / Low Value
12513,113,1,612.29,612.29,0,112,0.0,2,⚠️ At Risk
12514,267,1,1017.68,1017.68,0,266,0.0,2,⚠️ At Risk
12515,353,1,383.7,383.7,0,352,0.0,2,⚠️ At Risk
12516,78,2,1312.06,656.03,102,180,51.0,2,⚠️ At Risk
12517,28,5,2481.6,496.32,161,189,32.2,1,💎 High Value
12518,1,5,2056.89,411.378,109,109,21.8,1,💎 High Value
12519,64,1,330.84,330.84,0,63,0.0,2,⚠️ At Risk
12520,79,5,2634.26,526.8520000000001,194,273,38.8,2,⚠️ At Risk
12521,143,1,599.68,599.68,0,142,0.0,2,⚠️ At Risk
12522,39,2,192.72,96.36,12,50,6.0,0,🆕 New / Low Value
12523,19,11,1789.77,162.70636363636365,312,331,28.363636363636363,1,💎 High Value
12524,9,8,4485.72,560.715,324,333,40.5,1,💎 High Value
12526,1,3,1316.66,438.8866666666667,93,93,31.0,3,🛍️ Regular
12527,82,3,348.71000000000004,116.23666666666668,243,325,81.0,0,🆕 New / Low Value
12528,9,6,1933.48,322.24666666666667,303,312,50.5,1,💎 High Value
12530,60,4,1662.28,415.57,277,336,69.25,2,⚠️ At Risk
12531,15,1,125.22,125.22,0,14,0.0,0,🆕 New / Low Value
12532,30,1,349.83000000000004,349.83000000000004,0,29,0.0,2,⚠️ At Risk
12534,131,1,1089.18,1089.18,0,130,0.0,2,⚠️ At Risk
12535,92,2,716.35,358.175,94,186,47.0,2,⚠️ At Risk
12536,43,3,12601.830000000002,4200.610000000001,15,58,5.0,1,💎 High Value
12538,29,1,363.95,363.95,0,28,0.0,2,⚠️ At Risk
12539,22,4,5568.35,1392.0875,311,333,77.75,1,💎 High Value
12540,20,17,13400.24,788.2494117647059,342,361,20.11764705882353,1,💎 High Value
12541,30,3,981.18,327.06,251,280,83.66666666666667,3,🛍️ Regular
12544,36,1,372.7,372.7,0,35,0.0,2,⚠️ At Risk
12545,75,2,1000.39,500.195,184,259,92.0,2,⚠️ At Risk
12546,47,2,1161.5,580.75,31,77,15.5,2,⚠️ At Risk
12547,198,2,207.79999999999998,103.89999999999999,82,280,41.0,0,🆕 New / Low Value
12548,166,1,95.19999999999999,95.19999999999999,0,165,0.0,0,🆕 New / Low Value
12550,79,1,964.83,964.83,0,78,0.0,2,⚠️ At Risk
12551,358,1,168.0,168.0,0,357,0.0,0,🆕 New / Low Value
12552,39,2,437.82,218.91,0,39,0.0,3,🛍️ Regular
12553,8,10,3692.28,369.228,321,329,32.1,1,💎 High Value
12556,50,2,599.56,299.78,100,150,50.0,2,⚠️ At Risk
12557,16,5,11990.960000000001,2398.192,355,371,71.0,1,💎 High Value
12558,8,1,269.96,269.96,0,7,0.0,3,🛍️ Regular
12559,311,2,561.71,280.855,8,319,4.0,2,⚠️ At Risk
12560,5,3,2134.01,711.3366666666667,137,142,45.666666666666664,1,💎 High Value
12561,303,1,238.85,238.85,0,302,0.0,0,🆕 New / Low Value
12562,8,7,3781.7400000000002,540.2485714285715,190,198,27.142857142857142,1,💎 High Value
12564,261,1,456.9,456.9,0,260,0.0,2,⚠️ At Risk
12565,289,1,145.92,145.92,0,288,0.0,0,🆕 New / Low Value
12566,86,1,351.65,351.65,0,85,0.0,2,⚠️ At Risk
12567,23,10,9401.28,940.128,346,369,34.6,1,💎 High Value
12569,2,32,4124.69,128.8965625,250,251,7.8125,1,💎 High Value
12571,40,2,519.61,259.805,81,121,40.5,3,🛍️ Regular
12572,9,2,1020.42,510.21,43,51,21.5,3,🛍️ Regular
12573,227,1,160.54000000000002,160.54000000000002,0,226,0.0,0,🆕 New / Low Value
12574,316,1,218.45,218.45,0,315,0.0,0,🆕 New / Low Value
12576,36,5,1315.83,263.166,268,304,53.6,3,🛍️ Regular
12577,35,3,626.6,208.86666666666667,323,358,107.66666666666667,3,🛍️ Regular
12578,21,2,2794.51,1397.255,308,329,154.0,2,⚠️ At Risk
12579,78,1,440.42,440.42,0,77,0.0,2,⚠️ At Risk
12580,247,1,415.7,415.7,0,246,0.0,2,⚠️ At Risk
12581,40,1,197.71,197.71,0,39,0.0,0,🆕 New / Low Value
12582,239,2,511.36,255.68,49,288,24.5,2,⚠️ At Risk
12583,3,15,7281.38,485.42533333333336,370,373,24.666666666666668,1,💎 High Value
12584,4,9,2338.15,259.7944444444445,276,279,30.666666666666668,1,💎 High Value
12585,234,2,2040.1,1020.05,117,350,58.5,2,⚠️ At Risk
12586,17,1,196.94000000000003,196.94000000000003,0,16,0.0,0,🆕 New / Low Value
12587,8,1,144.0,144.0,0,7,0.0,3,🛍️ Regular
12588,39,1,214.89999999999998,214.89999999999998,0,38,0.0,0,🆕 New / Low Value
12589,29,2,646.68,323.34,115,144,57.5,3,🛍️ Regular
12590,211,2,9864.26,4932.13,0,210,0.0,2,⚠️ At Risk
12591,317,1,452.84999999999997,452.84999999999997,0,316,0.0,2,⚠️ At Risk
12592,92,2,437.6,218.8,121,212,60.5,0,🆕 New / Low Value
12593,109,3,418.09999999999997,139.36666666666665,110,218,36.666666666666664,0,🆕 New / Low Value
12594,38,10,3338.2200000000003,333.822,285,322,28.5,1,💎 High Value
12596,51,2,618.27,309.135,190,241,95.0,2,⚠️ At Risk
12597,19,4,3811.22,952.805,248,267,62.0,1,💎 High Value
12598,10,8,3023.08,377.885,275,284,34.375,1,💎 High Value
12599,29,7,1032.58,147.51142857142855,275,303,39.285714285714285,3,🛍️ Regular
12600,29,10,2599.04,259.904,342,370,34.2,1,💎 High Value
12601,190,5,577.0600000000001,115.412,142,332,28.4,0,🆕 New / Low Value
12602,59,1,153.12,153.12,0,58,0.0,0,🆕 New / Low Value
12603,22,1,739.1999999999999,739.1999999999999,0,21,0.0,2,⚠️ At Risk
12604,79,2,254.18,127.09,182,261,91.0,0,🆕 New / Low Value
12607,60,1,1579.51,1579.51,0,59,0.0,2,⚠️ At Risk
12609,78,3,1126.85,375.6166666666666,240,317,80.0,2,⚠️ At Risk
12610,23,5,2099.54,419.908,103,125,20.6,1,💎 High Value
12611,52,1,1193.32,1193.32,0,51,0.0,2,⚠️ At Risk
12612,74,1,704.0400000000001,704.0400000000001,0,73,0.0,2,⚠️ At Risk
12613,57,5,3344.38,668.876,204,261,40.8,1,💎 High Value
12614,278,1,315.6,315.6,0,277,0.0,2,⚠️ At Risk
12615,2,4,2291.19,572.7975,166,167,41.5,1,💎 High Value
12616,95,2,713.3,356.65,202,296,101.0,2,⚠️ At Risk
12617,29,1,352.98,352.98,0,28,0.0,2,⚠️ At Risk
12618,22,1,177.31,177.31,0,21,0.0,0,🆕 New / Low Value
12619,16,9,3641.24,404.5822222222222,237,252,26.333333333333332,1,💎 High Value
12620,15,3,1339.41,446.47,189,204,63.0,3,🛍️ Regular
12621,2,20,13689.67,684.4835,364,365,18.2,1,💎 High Value
12622,232,1,180.1,180.1,0,231,0.0,0,🆕 New / Low Value
12623,276,1,305.1,305.1,0,275,0.0,2,⚠️ At Risk
12624,106,2,641.13,320.565,71,177,35.5,2,⚠️ At Risk
